"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"2022","2","R","전통시장","2130282","난곡 골목형상점가","2","11","1","","","","","11","1","","","","","49","187442857"
"2022","1","R","전통시장","2130282","난곡 골목형상점가","2","11","1","","","","","11","1","","","","","49","187442857"
"2022","2","R","전통시장","2130281","우림시장","1","12","","","","","","2","10","","","","","43","207000000"
"2022","1","R","전통시장","2130281","우림시장","1","12","","","","","","2","10","","","","","43","207000000"
"2022","2","R","전통시장","2130279","관악신사시장","24","190","57","","","","22","136","88","1","","","","53","188303139"
"2022","1","R","전통시장","2130279","관악신사시장","24","190","57","","","","22","136","88","1","","","","53","188303139"
"2022","2","R","전통시장","2130278","미성동 도깨비시장 골목형상점가","3","21","21","8","","","1","23","23","3","","","","66","196264774"
"2022","1","R","전통시장","2130278","미성동 도깨비시장 골목형상점가","3","21","21","8","","","1","23","23","3","","","","66","196264774"
"2022","2","R","전통시장","2130277","조원동 펭귄시장(신림중앙시장)","17","158","29","2","","","9","115","63","2","","","","50","179571492"
"2022","1","R","전통시장","2130277","조원동 펭귄시장(신림중앙시장)","17","158","29","2","","","9","115","63","2","","","","50","179571492"
"2022","2","R","전통시장","2130276","신림중앙시장(조원동 펭귄시장)","2","23","","","","","15","6","2","","","","","20","93284231"
"2022","1","R","전통시장","2130276","신림중앙시장(조원동 펭귄시장)","2","23","","","","","15","6","2","","","","","20","93284231"
"2022","2","R","전통시장","2130275","강남골목시장","4","37","4","","","","4","29","8","","","","","44","153600000"
"2022","1","R","전통시장","2130275","강남골목시장","4","37","4","","","","4","29","8","","","","","44","153600000"
"2022","2","R","전통시장","2130274","사당1동먹자골목상점가(사당1동먹자골목)","4","36","","1","","","9","16","11","","1","","","40","177382891"
"2022","1","R","전통시장","2130274","사당1동먹자골목상점가(사당1동먹자골목)","4","36","","1","","","9","16","11","","1","","","40","177382891"
"2022","2","R","전통시장","2130273","남성사계시장(남성시장)","2","24","","","","","","21","3","","","","","28","151656250"
"2022","1","R","전통시장","2130273","남성사계시장(남성시장)","2","24","","","","","","21","3","","","","","28","151656250"
"2022","2","R","전통시장","2130271","남성역골목시장","5","22","10","1","","","4","15","13","1","","","","51","191120595"
"2022","1","R","전통시장","2130271","남성역골목시장","5","22","10","1","","","4","15","13","1","","","","51","191120595"
"2022","2","R","전통시장","2130269","강남시장(동작구 강남시장)","1","65","5","","","","64","6","","","","","","49","77584286"
"2022","1","R","전통시장","2130269","강남시장(동작구 강남시장)","1","65","5","","","","64","6","","","","","","49","77584286"
"2022","2","R","전통시장","2130268","상도전통시장","18","134","69","3","2","","33","58","96","20","1","","","56","195856445"
"2022","1","R","전통시장","2130268","상도전통시장","18","134","69","3","2","","33","58","96","20","1","","","56","195856445"
"2022","2","R","전통시장","2130267","본동인정시장(기능상실)","1","3","31","1","","","","","","3","5","26","1","86","512142857"
"2022","1","R","전통시장","2130267","본동인정시장(기능상실)","1","3","31","1","","","","","","3","5","26","1","86","512142857"
"2022","2","R","전통시장","2130265","노량진중앙시장","1","2","","","","4","","2","","2","","1","1","171","383833333"
"2022","1","R","전통시장","2130265","노량진중앙시장","1","2","","","","4","","2","","2","","1","1","171","383833333"
"2022","2","R","전통시장","2130264","상도약수골목형상점가","15","105","18","1","","","6","72","44","2","","","","54","207141164"
"2022","1","R","전통시장","2130264","상도약수골목형상점가","15","105","18","1","","","6","72","44","2","","","","54","207141164"
"2022","2","R","전통시장","2130262","상도도깨비 골목형상점가","5","23","10","","","","","21","12","","","","","59","184791667"
"2022","1","R","전통시장","2130262","상도도깨비 골목형상점가","5","23","10","","","","","21","12","","","","","59","184791667"
"2022","2","R","전통시장","2130261","성대전통시장(성대시장)","15","119","53","13","","","39","54","71","8","10","3","","55","208833697"
"2022","1","R","전통시장","2130261","성대전통시장(성대시장)","15","119","53","13","","","39","54","71","8","10","3","","55","208833697"
"2022","2","R","전통시장","2130260","신대방1동골목상권","3","13","4","","","","2","11","4","","","","","51","150693056"
"2022","1","R","전통시장","2130260","신대방1동골목상권","3","13","4","","","","2","11","4","","","","","51","150693056"
"2022","2","R","전통시장","2130259","대신시장","1","1","68","7","3","","","1","68","10","","","","91","268085145"
"2022","1","R","전통시장","2130259","대신시장","1","1","68","7","3","","","1","68","10","","","","91","268085145"
"2022","2","R","전통시장","2130258","영진시장A동","1","12","40","2","","","8","46","","","","","","72","126788889"
"2022","1","R","전통시장","2130258","영진시장A동","1","12","40","2","","","8","46","","","","","","72","126788889"
"2022","2","R","전통시장","2130257","영등포시장기계공구상가","3","59","","","","","","29","30","","","","","29","197095536"
"2022","1","R","전통시장","2130257","영등포시장기계공구상가","3","59","","","","","","29","30","","","","","29","197095536"
"2022","2","R","전통시장","2130255","영등포전통시장","3","31","5","","","","","13","23","","","","","39","197041667"
"2022","1","R","전통시장","2130255","영등포전통시장","3","31","5","","","","","13","23","","","","","39","197041667"
"2022","2","R","전통시장","2130249","동남상가","1","5","55","","","","5","55","","","","","","77","151726667"
"2022","1","R","전통시장","2130249","동남상가","1","5","55","","","","5","55","","","","","","77","151726667"
"2022","2","R","전통시장","2130246","영등포청과시장(조광시장)","24","275","1","","","","","163","113","","","","","31","192513333"
"2022","1","R","전통시장","2130246","영등포청과시장(조광시장)","24","275","1","","","","","163","113","","","","","31","192513333"
"2022","2","R","전통시장","2130244","대림중앙시장","5","20","14","","","","2","23","9","","","","","55","155646000"
"2022","1","R","전통시장","2130244","대림중앙시장","5","20","14","","","","2","23","9","","","","","55","155646000"
"2022","2","R","전통시장","2130242","대림중앙 골목형상점가","2","5","6","","","","","11","","","","","","61","143895833"
"2022","1","R","전통시장","2130242","대림중앙 골목형상점가","2","5","6","","","","","11","","","","","","61","143895833"
"2022","2","R","전통시장","2130241","선유도역 골목형상점가","6","136","111","1","","","5","44","1","","112","86","","46","203408872"
"2022","1","R","전통시장","2130241","선유도역 골목형상점가","6","136","111","1","","","5","44","1","","112","86","","46","203408872"
"2022","2","R","전통시장","2130238","은행나무시장","25","286","34","","","","17","262","41","","","","","47","155263391"
"2022","1","R","전통시장","2130238","은행나무시장","25","286","34","","","","17","262","41","","","","","47","155263391"
"2022","2","R","전통시장","2130237","박미시장(기능상실)","3","30","15","","","","","45","","","","","","59","151243665"
"2022","1","R","전통시장","2130237","박미시장(기능상실)","3","30","15","","","","","45","","","","","","59","151243665"
"2022","2","R","전통시장","2130236","비단길현대시장(현대시장)","18","244","18","","","","132","124","6","","","","","47","136590645"
"2022","1","R","전통시장","2130236","비단길현대시장(현대시장)","18","244","18","","","","132","124","6","","","","","47","136590645"
"2022","2","R","전통시장","2130235","대명여울빛거리시장(대명시장)","7","131","5","","","","76","52","8","","","","","31","122326580"
"2022","1","R","전통시장","2130235","대명여울빛거리시장(대명시장)","7","131","5","","","","76","52","8","","","","","31","122326580"
"2022","2","R","전통시장","2130234","푸른터시장(기능상실)","1","","18","1","","","","18","1","","","","","85","195315789"
"2022","1","R","전통시장","2130234","푸른터시장(기능상실)","1","","18","1","","","","18","1","","","","","85","195315789"
"2022","2","R","전통시장","2130233","남문시장","26","219","72","","","","30","209","52","","","","","54","157456798"
"2022","1","R","전통시장","2130233","남문시장","26","219","72","","","","30","209","52","","","","","54","157456798"
"2022","2","R","전통시장","2130232","독산동 맛나는거리상점가(독산동 맛나는거리)","10","87","4","","","","19","72","","","","","","52","129902359"
"2022","1","R","전통시장","2130232","독산동 맛나는거리상점가(독산동 맛나는거리)","10","87","4","","","","19","72","","","","","","52","129902359"
"2022","2","R","전통시장","2130231","독산동 우시장","1","280","152","","","","","","","","1","307","124","66","583126665"
"2022","1","R","전통시장","2130231","독산동 우시장","1","280","152","","","","","","","","1","307","124","66","583126665"
"2022","2","R","전통시장","2130230","가리봉시장","2","","","","","4","","","","","","1","3","267","851500000"
"2022","1","R","전통시장","2130230","가리봉시장","2","","","","","4","","","","","","1","3","267","851500000"
"2022","2","R","전통시장","2130229","남구로시장","12","57","1","","","","30","28","","","","","","47","100150347"
"2022","1","R","전통시장","2130229","남구로시장","12","57","1","","","","30","28","","","","","","47","100150347"
"2022","2","R","전통시장","2130228","구로시장","5","30","","","","","1","29","","","","","","52","121266667"
"2022","1","R","전통시장","2130228","구로시장","5","30","","","","","1","29","","","","","","52","121266667"
"2022","2","R","전통시장","2130227","고척골목시장상점가(그라운드 고척)","7","44","1","","","","38","7","","","","","","47","83004082"
"2022","1","R","전통시장","2130227","고척골목시장상점가(그라운드 고척)","7","44","1","","","","38","7","","","","","","47","83004082"
"2022","2","R","전통시장","2130226","고척프라자","1","10","1","","","","10","1","","","","","","40","65818182"
"2022","1","R","전통시장","2130226","고척프라자","1","10","1","","","","10","1","","","","","","40","65818182"
"2022","2","R","전통시장","2130225","개봉중앙시장","94","719","162","","","","95","738","48","","","","","55","145236509"
"2022","1","R","전통시장","2130225","개봉중앙시장","94","719","162","","","","95","738","48","","","","","55","145236509"
"2022","2","R","전통시장","2130224","개봉프라자(고척근린시장)","1","53","6","","","","","53","6","","","","","61","181881356"
"2022","1","R","전통시장","2130224","개봉프라자(고척근린시장)","1","53","6","","","","","53","6","","","","","61","181881356"
"2022","2","R","전통시장","2130223","고척근린시장","1","29","","","","","","23","6","","","","","36","143177885"
"2022","1","R","전통시장","2130223","고척근린시장","1","29","","","","","","23","6","","","","","36","143177885"
"2022","2","R","전통시장","2130222","오류시장","1","10","","","","","","5","5","","","","","54","199000000"
"2022","1","R","전통시장","2130222","오류시장","1","10","","","","","","5","5","","","","","54","199000000"
"2022","2","R","전통시장","2130221","남부골목시장(남부화곡시장 남부시장)","29","268","69","3","","","25","210","101","4","","","","53","151061419"
"2022","1","R","전통시장","2130221","남부골목시장(남부화곡시장 남부시장)","29","268","69","3","","","25","210","101","4","","","","53","151061419"
"2022","2","R","전통시장","2130219","까치산시장","29","269","30","","","","40","223","12","24","","","","48","138781065"
"2022","1","R","전통시장","2130219","까치산시장","29","269","30","","","","40","223","12","24","","","","48","138781065"
"2022","2","R","전통시장","2130217","화곡본동시장","12","104","13","1","","","38","65","15","","","","","50","132356308"
"2022","1","R","전통시장","2130217","화곡본동시장","12","104","13","1","","","38","65","15","","","","","50","132356308"
"2022","2","R","전통시장","2130216","화곡중앙시장","29","280","22","","","","47","255","","","","","","47","124857247"
"2022","1","R","전통시장","2130216","화곡중앙시장","29","280","22","","","","47","255","","","","","","47","124857247"
"2022","2","R","전통시장","2130214","송화벽화시장(송화골목시장)","12","187","17","","","","13","115","75","1","","","","44","170389192"
"2022","1","R","전통시장","2130214","송화벽화시장(송화골목시장)","12","187","17","","","","13","115","75","1","","","","44","170389192"
"2022","2","R","전통시장","2130213","방신전통시장","3","10","101","","","","9","1","6","81","14","","","63","286744636"
"2022","1","R","전통시장","2130213","방신전통시장","3","10","101","","","","9","1","6","81","14","","","63","286744636"
"2022","2","R","전통시장","2130212","공항시장","2","22","","","","","7","","15","","","","","38","178721429"
"2022","1","R","전통시장","2130212","공항시장","2","22","","","","","7","","15","","","","","38","178721429"
"2022","2","R","전통시장","2130211","신정2동 골목시장(오목교중앙시장)","6","60","49","","","","1","21","42","","45","","","55","277896417"
"2022","1","R","전통시장","2130211","신정2동 골목시장(오목교중앙시장)","6","60","49","","","","1","21","42","","45","","","55","277896417"
"2022","2","R","전통시장","2130210","목2동시장","22","388","26","1","6","","20","337","58","6","","","","47","174226089"
"2022","1","R","전통시장","2130210","목2동시장","22","388","26","1","6","","20","337","58","6","","","","47","174226089"
"2022","2","R","전통시장","2130209","목사랑시장(목4동시장)","28","174","203","2","","","17","152","59","89","62","","","59","187833692"
"2022","1","R","전통시장","2130209","목사랑시장(목4동시장)","28","174","203","2","","","17","152","59","89","62","","","59","187833692"
"2022","2","R","전통시장","2130208","목동깨비시장(목3동시장)","14","179","97","21","1","","58","87","29","27","77","20","","50","215617043"
"2022","1","R","전통시장","2130208","목동깨비시장(목3동시장)","14","179","97","21","1","","58","87","29","27","77","20","","50","215617043"
"2022","2","R","전통시장","2130207","신정1동 골목시장(신정제일시장)","2","35","","","","","","28","7","","","","","35","186678571"
"2022","1","R","전통시장","2130207","신정1동 골목시장(신정제일시장)","2","35","","","","","","28","7","","","","","35","186678571"
"2022","2","R","전통시장","2130204","경창시장","14","153","48","7","","","21","151","36","","","","","58","151395535"
"2022","1","R","전통시장","2130204","경창시장","14","153","48","7","","","21","151","36","","","","","58","151395535"
"2022","2","R","전통시장","2130203","서서울 골목형상점가","4","42","2","2","","","40","4","2","","","","","47","99603750"
"2022","1","R","전통시장","2130203","서서울 골목형상점가","4","42","2","2","","","40","4","2","","","","","47","99603750"
"2022","2","R","전통시장","2130202","신영시장","14","107","42","","","","19","118","12","","","","","53","134445628"
"2022","1","R","전통시장","2130202","신영시장","14","107","42","","","","19","118","12","","","","","53","134445628"
"2022","2","R","전통시장","2130201","월정로시장","25","260","21","","1","","83","174","25","","","","","48","118844919"
"2022","1","R","전통시장","2130201","월정로시장","25","260","21","","1","","83","174","25","","","","","48","118844919"
"2022","2","R","전통시장","2130200","신월7동 골목시장(약수시장 우성상가)","11","95","1","","","","66","30","","","","","","42","105895604"
"2022","1","R","전통시장","2130200","신월7동 골목시장(약수시장 우성상가)","11","95","1","","","","66","30","","","","","","42","105895604"
"2022","2","R","전통시장","2130199","신월3동 골목시장","3","37","1","","","","6","31","1","","","","","48","132082222"
"2022","1","R","전통시장","2130199","신월3동 골목시장","3","37","1","","","","6","31","1","","","","","48","132082222"
"2022","2","R","전통시장","2130198","아현시장","6","48","7","","","","","3","46","6","","","","44","243143519"
"2022","1","R","전통시장","2130198","아현시장","6","48","7","","","","","3","46","6","","","","44","243143519"
"2022","2","R","전통시장","2130195","도화동 상점가","16","106","89","2","","","4","71","23","30","1","","68","52","258679921"
"2022","1","R","전통시장","2130195","도화동 상점가","16","106","89","2","","","4","71","23","30","1","","68","52","258679921"
"2022","2","R","전통시장","2130194","용강동 상점가","5","38","121","38","","","","2","39","17","12","10","117","79","457537922"
"2022","1","R","전통시장","2130194","용강동 상점가","5","38","121","38","","","","2","39","17","12","10","117","79","457537922"
"2022","2","R","전통시장","2130193","신수시장","2","15","","","","","","6","9","","","","","41","213187500"
"2022","1","R","전통시장","2130193","신수시장","2","15","","","","","","6","9","","","","","41","213187500"
"2022","2","R","전통시장","2130191","홍대 걷고싶은 거리","6","36","","1","","","17","18","1","1","","","","38","124502083"
"2022","1","R","전통시장","2130191","홍대 걷고싶은 거리","6","36","","1","","","17","18","1","1","","","","38","124502083"
"2022","2","R","전통시장","2130190","홍대소상공인상점가","7","60","6","","","","38","20","7","1","","","","35","137726259"
"2022","1","R","전통시장","2130190","홍대소상공인상점가","7","60","6","","","","38","20","7","1","","","","35","137726259"
"2022","2","R","전통시장","2130188","합정시장","1","20","20","","","","","","7","30","3","","","64","336625000"
"2022","1","R","전통시장","2130188","합정시장","1","20","20","","","","","","7","30","3","","","64","336625000"
"2022","2","R","전통시장","2130187","영진시장","3","65","11","","","","","47","27","2","","","","57","244268750"
"2022","1","R","전통시장","2130187","영진시장","3","65","11","","","","","47","27","2","","","","57","244268750"
"2022","2","R","전통시장","2130186","망원시장","52","382","155","","","","7","178","252","58","42","","","52","217068483"
"2022","1","R","전통시장","2130186","망원시장","52","382","155","","","","7","178","252","58","42","","","52","217068483"
"2022","2","R","전통시장","2130185","망원월드컵시장","25","198","25","4","","","22","86","81","19","19","","","50","198413702"
"2022","1","R","전통시장","2130185","망원월드컵시장","25","198","25","4","","","22","86","81","19","19","","","50","198413702"
"2022","2","R","전통시장","2130183","상암동상점가","34","408","6","","","","129","199","78","4","4","","","29","173786147"
"2022","1","R","전통시장","2130183","상암동상점가","34","408","6","","","","129","199","78","4","4","","","29","173786147"
"2022","2","R","전통시장","2130182","영천시장","6","38","2","","","","17","18","5","","","","","33","124981587"
"2022","1","R","전통시장","2130182","영천시장","6","38","2","","","","17","18","5","","","","","33","124981587"
"2022","2","R","전통시장","2130181","아현가구거리상점가","2","21","","","","","","2","16","1","2","","","33","298205882"
"2022","1","R","전통시장","2130181","아현가구거리상점가","2","21","","","","","","2","16","1","2","","","33","298205882"
"2022","2","R","전통시장","2130180","포방터시장","8","57","1","","","","36","19","3","","","","","49","114771577"
"2022","1","R","전통시장","2130180","포방터시장","8","57","1","","","","36","19","3","","","","","49","114771577"
"2022","2","R","전통시장","2130179","이화여대 357길 상점가","16","381","3","10","","","82","201","91","20","","","","28","156852377"
"2022","1","R","전통시장","2130179","이화여대 357길 상점가","16","381","3","10","","","82","201","91","20","","","","28","156852377"
"2022","2","R","전통시장","2130177","인왕시장(홍제골목형상점가)","1","4","36","","","","","4","36","","","","","72","217550000"
"2022","1","R","전통시장","2130177","인왕시장(홍제골목형상점가)","1","4","36","","","","","4","36","","","","","72","217550000"
"2022","2","R","전통시장","2130173","백련시장","1","64","","","","","","26","38","","","","","55","192656250"
"2022","1","R","전통시장","2130173","백련시장","1","64","","","","","","26","38","","","","","55","192656250"
"2022","2","R","전통시장","2130172","모래내시장(서중시장)","10","88","28","","2","","18","35","12","19","28","6","","60","344158399"
"2022","1","R","전통시장","2130172","모래내시장(서중시장)","10","88","28","","2","","18","35","12","19","28","6","","60","344158399"
"2022","2","R","전통시장","2130171","불광먹자골목 골목형상점가","29","257","8","","","","82","131","52","","","","","30","137917819"
"2022","1","R","전통시장","2130171","불광먹자골목 골목형상점가","29","257","8","","","","82","131","52","","","","","30","137917819"
"2022","2","R","전통시장","2130169","대조시장","42","482","26","","","","188","246","74","","","","","44","140482343"
"2022","1","R","전통시장","2130169","대조시장","42","482","26","","","","188","246","74","","","","","44","140482343"
"2022","2","R","전통시장","2130168","연서시장","3","20","36","34","","","","10","11","12","35","22","","69","282597021"
"2022","1","R","전통시장","2130168","연서시장","3","20","36","34","","","","10","11","12","35","22","","69","282597021"
"2022","2","R","전통시장","2130167","연신내상점가(연빛거리)","16","121","22","","","","80","40","23","","","","","47","130067165"
"2022","1","R","전통시장","2130167","연신내상점가(연빛거리)","16","121","22","","","","80","40","23","","","","","47","130067165"
"2022","2","R","전통시장","2130166","응암시장(신응암시장)","2","26","","","","","","","26","","","","","50","215000000"
"2022","1","R","전통시장","2130166","응암시장(신응암시장)","2","26","","","","","","","26","","","","","50","215000000"
"2022","2","R","전통시장","2130165","대림골목시장(대림시장 양지시장)","8","56","9","","","","15","43","7","","","","","48","131406563"
"2022","1","R","전통시장","2130165","대림골목시장(대림시장 양지시장)","8","56","9","","","","15","43","7","","","","","48","131406563"
"2022","2","R","전통시장","2130163","응암오거리상점가","34","255","54","1","","","36","149","122","2","1","","","51","162443211"
"2022","1","R","전통시장","2130163","응암오거리상점가","34","255","54","1","","","36","149","122","2","1","","","51","162443211"
"2022","2","R","전통시장","2130162","증산골목시장","1","9","","","","","","","3","6","","","","34","310444444"
"2022","1","R","전통시장","2130162","증산골목시장","1","9","","","","","","","3","6","","","","34","310444444"
"2022","2","R","전통시장","2130161","증산종합시장","3","18","17","","","","","22","13","","","","","64","187604167"
"2022","1","R","전통시장","2130161","증산종합시장","3","18","17","","","","","22","13","","","","","64","187604167"
"2022","2","R","전통시장","2130159","공릉동 도깨비시장","28","262","141","1","","","56","192","86","70","","","","52","161575962"
"2022","1","R","전통시장","2130159","공릉동 도깨비시장","28","262","141","1","","","56","192","86","70","","","","52","161575962"
"2022","2","R","전통시장","2130158","상계역전종합상가","2","455","","","","","","","455","","","","","47","235538462"
"2022","1","R","전통시장","2130158","상계역전종합상가","2","455","","","","","","","455","","","","","47","235538462"
"2022","2","R","전통시장","2130157","상계중앙시장","24","174","22","","","","42","127","19","8","","","","50","141941057"
"2022","1","R","전통시장","2130157","상계중앙시장","24","174","22","","","","42","127","19","8","","","","50","141941057"
"2022","2","R","전통시장","2130152","오!도봉거리 상점가","8","89","1","","","","13","77","","","","","","40","119110848"
"2022","1","R","전통시장","2130152","오!도봉거리 상점가","8","89","1","","","","13","77","","","","","","40","119110848"
"2022","2","R","전통시장","2130151","신도봉시장","3","25","","","","","25","","","","","","","42","76723571"
"2022","1","R","전통시장","2130151","신도봉시장","3","25","","","","","25","","","","","","","42","76723571"
"2022","2","R","전통시장","2130150","창동골목시장","8","56","","","","","9","47","","","","","","46","119509524"
"2022","1","R","전통시장","2130150","창동골목시장","8","56","","","","","9","47","","","","","","46","119509524"
"2022","2","R","전통시장","2130149","창동신창시장","49","470","94","4","","","100","423","45","","","","","53","141431532"
"2022","1","R","전통시장","2130149","창동신창시장","49","470","94","4","","","100","423","45","","","","","53","141431532"
"2022","2","R","전통시장","2130148","방학동도깨비시장","16","129","13","","","","104","33","5","","","","","47","94489939"
